GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36047004100,"Census Tract 41, Kings County, New York",3294,195750,592,17962,36047004100,2
36061000600,"Census Tract 6, New York County, New York",10576,19692,1239,8736,36061000600,3
36081049201,"Census Tract 492.01, Queens County, New York",3319,74583,501,16936,36081049201,1
36081011900,"Census Tract 119, Queens County, New York",1516,72670,415,10317,36081011900,3
36081016100,"Census Tract 161, Queens County, New York",2589,93802,414,15438,36081016100,2
36081076902,"Census Tract 769.02, Queens County, New York",1168,98438,148,27671,36081076902,1
36047029700,"Census Tract 297, Kings County, New York",4720,85577,594,22154,36047029700,2
36047042000,"Census Tract 420, Kings County, New York",1803,70588,346,15031,36047042000,2
36081072100,"Census Tract 721, Queens County, New York",4742,76318,786,19766,36081072100,1
36047050100,"Census Tract 501, Kings County, New York",3373,98750,547,44401,36047050100,9
36047006901,"Census Tract 69.01, Kings County, New York",1784,128411,249,18233,36047006901,3
36081025800,"Census Tract 258, Queens County, New York",2212,83828,637,18508,36081025800,4
36005042200,"Census Tract 422, Bronx County, New York",2873,64181,701,16581,36005042200,5
36081051200,"Census Tract 512, Queens County, New York",2686,87917,498,16912,36081051200,5
36081129104,"Census Tract 1291.04, Queens County, New York",4384,96711,589,17567,36081129104,2
36081014100,"Census Tract 141, Queens County, New York",1680,86563,314,24193,36081014100,2
36081080900,"Census Tract 809, Queens County, New York",6925,73946,1021,22815,36081080900,2
36085020100,"Census Tract 201, Richmond County, New York",3769,104750,689,36591,36085020100,4
36085016901,"Census Tract 169.01, Richmond County, New York",3870,136506,720,32420,36085016901,5
36081074300,"Census Tract 743, Queens County, New York",4412,76875,783,18818,36081074300,5
36081028200,"Census Tract 282, Queens County, New York",2116,55197,502,37138,36081028200,2
36005028300,"Census Tract 283, Bronx County, New York",2839,22971,1007,21881,36005028300,4
36085023900,"Census Tract 239, Richmond County, New York",3704,74837,751,35964,36085023900,5
36081058300,"Census Tract 583, Queens County, New York",3718,82772,497,25801,36081058300,4
36047028300,"Census Tract 283, Kings County, New York",3966,40559,602,13939,36047028300,5
36005040304,"Census Tract 403.04, Bronx County, New York",3619,31765,559,2838,36005040304,5
36047029500,"Census Tract 295, Kings County, New York",4113,80197,825,32974,36047029500,2
36061002800,"Census Tract 28, New York County, New York",6453,52448,912,12713,36061002800,1
